barrio,dia,direccion_viento_tarde,direccion_viento_temprano,horas_de_sol,humedad_tarde,humedad_temprano,id,llovieron_hamburguesas_hoy,mm_evaporados_agua,mm_lluvia_dia,nubosidad_tarde,nubosidad_temprano,presion_atmosferica_tarde,presion_atmosferica_temprano,rafaga_viento_max_direccion,rafaga_viento_max_velocidad,temp_max,temp_min,temperatura_tarde,temperatura_temprano,velocidad_viendo_tarde,velocidad_viendo_temprano
Liniers,2011-01-18,Norte,suroeste,11.5,40.0,70.0,46761,no,8.0,0.0,2.0,4.0,1005.1,1006.9,Estenoreste,48.0,26.5,12.9,25.2,17.3,11.0,2.0
Mataderos,2013-09-29,Oeste,Nornoreste,,34.0,55.0,50696,no,,0.0,,,1013.4,1017.2,Oeste,33.0,21.5,2.1,20.4,12.3,22.0,6.0
Versalles,2009-05-01,Oestesuroeste,Noreste,4.5,68.0,94.0,102673,no,3.2,0.0,8.0,6.0,1022.6,1024.6,Oeste,28.0,18.9,5.7,16.1,10.9,17.0,6.0
Retiro,2009-10-06,Estenoreste,Sureste,10.9,48.0,56.0,84469,no,4.0,0.0,1.0,4.0,1014.9,1018.7,Este,30.0,27.4,16.1,25.3,23.1,15.0,9.0
Villa Pueyrredón,2015-11-12,Sur,Este,,70.0,70.0,129246,no,,0.0,,,1021.3,1022.3,Sursureste,33.0,22.3,14.4,21.0,19.6,13.0,11.0
Parque Chacabuco,2013-09-15,Noreste,Noreste,5.7,31.0,70.0,72022,no,3.0,0.0,7.0,7.0,1008.6,1015.0,Noreste,54.0,24.2,9.5,23.2,14.1,31.0,13.0
San Telmo,2013-04-22,Noroeste,Nornoreste,6.1,61.0,81.0,97987,si,8.4,13.4,,,1010.1,1010.9,Oestenoroeste,52.0,21.0,10.8,20.2,15.2,28.0,9.0
Puerto Madero,2016-11-23,suroeste,suroeste,5.2,82.0,100.0,80783,si,1.0,10.0,7.0,7.0,1016.3,1015.2,Sursuroeste,48.0,16.9,10.2,11.5,12.4,22.0,7.0
Monte Castro,2010-04-09,Oeste,,,75.0,,52556,,,,,,,,,,13.3,,12.2,,7.0,
Liniers,2014-09-02,Sur,Oeste,,50.0,83.0,47995,si,,1.4,8.0,8.0,1010.6,1011.2,Sur,59.0,11.9,6.2,10.6,9.1,35.0,11.0
Floresta,2009-12-26,Noreste,Estenoreste,4.2,57.0,75.0,36888,si,2.8,2.2,7.0,7.0,1012.9,1014.2,,,25.5,17.7,24.7,18.9,13.0,22.0
La Paternal,2012-08-30,Oeste,Nornoreste,,26.0,43.0,43885,no,,0.0,,,1009.9,1009.7,Oeste,57.0,20.3,13.8,18.3,17.5,26.0,9.0
Villa Devoto,2012-01-22,Sursuroeste,Sursuroeste,,54.0,73.0,112697,no,,0.0,,,1012.7,1011.8,Sursuroeste,35.0,27.4,18.0,25.4,21.9,20.0,13.0
Villa Luro,2011-03-16,Sureste,Este,10.9,29.0,54.0,121626,no,13.2,0.0,3.0,0.0,1008.6,1012.7,Sureste,39.0,33.4,19.4,32.7,24.2,17.0,15.0
Agronomía,2011-10-24,suroeste,Nornoreste,,49.0,46.0,1027,no,,0.0,,,1006.3,1010.0,Oeste,43.0,28.4,18.0,26.7,23.8,13.0,17.0
San Telmo,2012-11-13,suroeste,Sureste,,35.0,46.0,97886,no,6.6,0.0,,,1021.2,1024.8,Sursureste,31.0,22.8,10.6,21.3,16.4,19.0,9.0
Nueva Pompeya,2015-10-26,Sursureste,suroeste,,53.0,67.0,60573,no,,0.0,7.0,8.0,1019.9,1016.7,Sursureste,48.0,19.7,11.9,17.0,16.0,28.0,22.0
Flores,2009-03-30,Sursureste,Sursureste,6.7,64.0,88.0,33608,no,4.0,0.0,5.0,5.0,1022.3,1024.3,Sureste,59.0,24.8,18.7,24.1,20.2,26.0,13.0
Recoleta,2012-06-12,Nornoreste,Nornoreste,3.4,73.0,87.0,82226,no,1.0,0.0,,,1016.4,1019.5,Nornoreste,43.0,14.0,1.1,12.8,8.2,15.0,15.0
Monte Castro,2013-11-30,Nornoreste,Oestesuroeste,,55.0,80.0,53798,no,,0.0,,,,,Noreste,26.0,15.0,1.6,10.8,6.8,9.0,6.0
Floresta,2012-11-10,Oestesuroeste,Nornoreste,13.4,26.0,58.0,37908,no,8.2,0.0,1.0,1.0,1020.2,1022.3,Sursureste,28.0,22.9,5.9,21.8,13.8,11.0,4.0
Villa Riachuelo,2009-01-24,Oestenoroeste,Noroeste,,40.0,76.0,133085,no,,0.0,,,1004.6,998.1,suroeste,57.0,21.3,13.2,20.0,15.8,22.0,20.0
Villa Pueyrredón,2015-05-14,Norte,Nornoreste,,50.0,61.0,129064,no,,0.2,,,1024.2,1026.5,Nornoreste,48.0,22.2,11.0,21.5,14.0,13.0,24.0
Parque Patricios,2009-04-02,Nornoreste,Norte,8.7,32.0,,75071,no,6.4,0.0,6.0,7.0,1016.2,,Sursuroeste,37.0,31.1,,29.7,19.5,20.0,13.0
Belgrano,2016-08-30,Noreste,Noreste,,52.0,73.0,14776,no,3.4,0.0,1.0,,1023.6,1028.1,Nornoreste,44.0,22.7,9.9,22.1,16.7,20.0,26.0
Caballito,2013-05-08,Estenoreste,Sursuroeste,,69.0,86.0,19614,si,,5.4,,,1028.2,1030.7,Sursureste,20.0,21.1,14.5,19.6,17.4,7.0,13.0
Villa Luro,2013-06-01,Estesureste,Sursureste,9.2,49.0,81.0,122345,no,2.4,0.0,1.0,1.0,1031.0,1034.5,Sureste,31.0,18.1,3.6,17.5,9.0,11.0,7.0
Constitución,2014-03-14,Estenoreste,Nornoreste,7.9,55.0,70.0,32320,no,4.0,0.2,1.0,6.0,1014.7,1018.4,Nornoreste,43.0,26.3,19.3,25.2,22.7,30.0,7.0
Flores,2013-10-17,Noroeste,Norte,5.2,3.0,18.0,35181,no,11.2,0.0,7.0,7.0,1002.9,1005.3,Noroeste,81.0,33.9,17.0,32.6,27.2,48.0,33.0
Versalles,2017-06-14,Oestenoroeste,Noreste,8.4,40.0,81.0,105550,no,1.0,0.0,,1.0,1026.7,1029.1,Oeste,33.0,17.9,1.2,17.8,10.2,17.0,7.0
Almagro,2011-03-31,Sureste,Sursuroeste,,72.0,76.0,3859,si,,2.6,,,1023.5,1023.6,Sur,26.0,20.7,16.7,18.9,18.5,15.0,13.0
Saavedra,2013-11-05,Sureste,Sursureste,11.8,48.0,56.0,88911,no,8.8,0.0,2.0,2.0,1013.7,1015.8,Sursureste,52.0,30.4,18.9,28.8,26.9,37.0,22.0
Villa Lugano,2014-07-31,Este,Estesureste,5.9,46.0,67.0,119577,no,1.8,0.0,0.0,7.0,1025.6,1027.8,Sur,41.0,16.3,6.9,16.2,11.3,13.0,11.0
Flores,2009-10-07,suroeste,Oestesuroeste,8.8,45.0,52.0,33799,si,3.6,2.0,6.0,1.0,1011.6,1014.5,suroeste,63.0,19.6,10.0,16.4,13.5,35.0,20.0
Agronomía,2013-11-19,Este,Este,,24.0,55.0,1725,no,,0.0,,,1008.5,1013.4,Oeste,22.0,31.1,10.2,30.2,19.8,7.0,6.0
Agronomía,2015-10-03,Noroeste,Sureste,,35.0,71.0,2408,no,,0.0,,,1026.1,1032.4,Estesureste,26.0,27.1,6.9,26.6,16.3,11.0,6.0
Parque Chas,2015-08-14,Oeste,Noroeste,,93.0,100.0,74298,no,,0.2,,,1026.2,1026.7,Oeste,33.0,15.3,8.5,14.2,10.1,17.0,11.0
Caballito,2012-11-19,Sur,Sursuroeste,,54.0,58.0,19503,no,,0.0,,,1014.4,1014.2,Sur,57.0,22.1,14.2,18.2,17.8,33.0,13.0
Villa Riachuelo,2013-10-14,Oestesuroeste,Norte,,42.0,68.0,134720,no,,0.8,,,1011.1,1011.4,Oestenoroeste,33.0,16.4,2.6,14.7,7.1,13.0,11.0
Floresta,2013-09-30,Norte,Este,10.3,24.0,54.0,38173,no,4.0,0.0,4.0,7.0,1008.8,1015.3,Norte,52.0,27.9,8.4,27.0,17.0,24.0,17.0
Parque Avellaneda,2015-12-12,Estesureste,suroeste,12.5,,,69831,,7.2,,,,,,suroeste,41.0,,,,,17.0,24.0
Monte Castro,2013-06-26,Estesureste,Estesureste,,93.0,96.0,53641,no,,0.0,,,,,Estesureste,56.0,4.8,-1.3,4.5,0.3,6.0,19.0
Palermo cheto,2014-09-03,Noroeste,Este,,18.0,29.0,144433,no,,0.0,,,1015.9,1022.5,Nornoreste,28.0,29.3,6.4,27.6,15.1,11.0,13.0
Balvanera,2013-08-23,Oestesuroeste,Oestesuroeste,,47.0,60.0,7655,no,3.8,0.0,6.0,1.0,1017.8,1018.8,Oeste,43.0,16.9,4.1,16.1,11.9,22.0,20.0
Villa del Parque,2012-01-23,Sursureste,Sur,1.0,95.0,93.0,109689,no,5.2,0.0,4.0,8.0,1017.1,1017.8,,,24.3,17.9,23.4,21.3,19.0,20.0
Monte Castro,2009-08-31,Oeste,Oestesuroeste,,98.0,98.0,52335,si,,2.4,,,,,,,,-4.3,0.2,-0.8,39.0,22.0
Parque Avellaneda,2014-08-02,Sureste,Oeste,6.5,36.0,86.0,69334,,2.4,,,,1030.6,1029.9,Oestesuroeste,37.0,13.6,4.7,12.0,5.1,13.0,19.0
Villa Santa Rita,2013-01-02,Sureste,Estesureste,13.0,9.0,4.0,137503,no,18.6,0.0,3.0,0.0,1006.4,1010.5,Este,50.0,41.6,18.5,39.6,33.3,22.0,15.0
Villa Real,2012-11-09,Sursuroeste,Norte,2.1,83.0,68.0,131400,si,5.6,10.4,,,1013.3,1011.3,suroeste,43.0,16.3,10.6,10.5,15.0,17.0,9.0
Villa Soldati,2015-07-27,Norte,Sur,8.4,58.0,72.0,141604,no,5.8,0.0,3.0,7.0,1013.6,1018.1,Estesureste,57.0,34.4,23.9,30.2,25.8,28.0,15.0
Villa Pueyrredón,2010-08-08,Sursureste,Sur,,61.0,65.0,127416,si,,3.6,,,1028.1,1027.7,Sursuroeste,37.0,13.9,10.9,12.7,12.1,13.0,11.0
San Cristóbal,2010-06-17,Noreste,Oestesuroeste,,66.0,65.0,90803,no,,0.0,,,1018.7,1022.6,suroeste,19.0,22.9,12.2,20.8,17.5,11.0,9.0
Parque Patricios,2009-09-09,Sursuroeste,Sursuroeste,4.6,61.0,81.0,75231,no,0.2,0.4,7.0,6.0,1016.8,1018.4,Sursuroeste,30.0,13.0,8.6,11.6,10.7,13.0,15.0
San Nicolás,2011-03-06,Este,Estesureste,4.6,93.0,79.0,94105,si,6.6,10.4,8.0,7.0,1008.6,1010.5,Estesureste,65.0,30.5,24.8,26.3,28.1,31.0,31.0
Villa Soldati,2016-02-02,Oestenoroeste,Oeste,3.7,76.0,76.0,141794,si,6.4,11.6,8.0,6.0,1006.0,1008.8,Oestenoroeste,46.0,31.3,24.7,29.8,30.2,24.0,26.0
Parque Avellaneda,2015-10-30,Sursureste,Estenoreste,12.1,,,69788,,7.6,,,,,,Sursureste,43.0,,,,,31.0,13.0
Retiro,2013-11-20,Este,Oeste,12.9,56.0,57.0,85886,no,8.0,0.0,2.0,3.0,1008.2,1011.1,Este,28.0,28.8,17.6,27.4,25.1,11.0,6.0
Villa Devoto,2014-06-10,Sur,Sursureste,,56.0,92.0,113508,si,,26.8,,,1018.6,1015.2,Oestesuroeste,52.0,14.2,10.6,13.9,11.6,24.0,13.0
Parque Patricios,2011-11-14,Oeste,Oestenoroeste,5.5,73.0,83.0,75997,no,6.2,0.2,7.0,7.0,1010.3,1007.4,Oestenoroeste,69.0,18.9,13.5,18.0,16.3,41.0,28.0
Recoleta,2013-11-19,Sursuroeste,Sursuroeste,6.4,79.0,81.0,82692,no,6.6,0.0,,,1010.9,1009.0,Sur,44.0,19.4,7.9,16.1,16.6,30.0,6.0
Núñez,2013-04-01,Oestesuroeste,Oestenoroeste,11.0,41.0,85.0,62644,no,3.2,0.0,4.0,6.0,1015.6,1018.6,Oestesuroeste,48.0,20.7,6.0,20.1,11.4,33.0,13.0
Colegiales,2016-12-19,Noreste,Norte,,50.0,76.0,29987,no,11.2,0.0,8.0,7.0,1016.2,1021.1,Este,33.0,25.8,15.6,24.5,18.0,13.0,6.0
Parque Chacabuco,2014-01-21,Sursureste,Sur,12.8,18.0,55.0,72150,no,11.6,0.0,5.0,3.0,1011.5,1012.7,Sur,37.0,31.1,16.3,28.2,19.1,24.0,19.0
Floresta,2015-07-27,suroeste,Oestenoroeste,6.7,64.0,88.0,38838,si,1.6,1.2,7.0,2.0,1029.4,1029.6,Oestesuroeste,35.0,10.3,0.2,8.9,3.3,24.0,11.0
Núñez,2010-05-19,Oeste,Oestenoroeste,8.3,40.0,95.0,61685,no,2.2,0.2,5.0,2.0,1021.3,1023.6,Oeste,24.0,17.3,3.2,17.0,6.3,17.0,13.0
Villa Devoto,2015-04-03,Sursureste,Sureste,,35.0,73.0,113805,no,,0.0,,,1017.1,1019.4,Estesureste,30.0,26.6,8.0,24.0,17.5,17.0,6.0
Parque Avellaneda,2014-12-18,Oestesuroeste,Noroeste,7.0,30.0,40.0,69472,no,7.2,0.0,,,1005.3,1005.8,suroeste,74.0,24.6,12.1,23.9,18.9,24.0,17.0
Villa Real,2010-12-27,suroeste,suroeste,11.3,63.0,50.0,130747,no,4.4,0.2,,,1008.1,1005.4,suroeste,57.0,15.2,6.4,10.6,10.8,33.0,24.0
Coghlan,2014-09-29,Noroeste,Noroeste,,19.0,42.0,26166,no,,0.0,,,,,Oestenoroeste,43.0,32.5,10.2,31.7,22.6,20.0,4.0
Villa Devoto,2015-05-16,Norte,Nornoreste,,86.0,99.0,113848,si,,36.8,,,1005.5,1009.4,Nornoreste,59.0,18.1,13.8,18.0,14.4,22.0,24.0
Liniers,2008-01-08,Norte,Este,8.1,44.0,77.0,45655,no,10.0,0.0,1.0,7.0,1013.4,1015.7,Este,46.0,30.3,16.5,28.0,18.1,9.0,7.0
Villa Riachuelo,2010-05-20,Sur,,,52.0,97.0,133566,no,,0.2,,,1021.1,1023.3,Sursureste,19.0,14.5,0.3,13.5,3.0,7.0,0.0
Villa Riachuelo,2012-10-08,Noroeste,Noreste,,49.0,77.0,134408,no,,0.0,,,1013.2,1016.2,Norte,33.0,18.6,3.4,17.6,9.7,17.0,6.0
Vélez Sársfield,2012-10-11,Sur,Sur,10.1,90.0,55.0,100893,si,1.8,10.0,6.0,2.0,1016.9,1016.1,Sursuroeste,59.0,13.7,2.4,10.0,10.0,41.0,35.0
Colegiales,2013-10-15,Estesureste,Estenoreste,,17.0,43.0,28826,no,6.4,0.0,,,1017.9,1022.7,Noroeste,31.0,26.1,4.3,24.0,15.1,9.0,7.0
Parque Chas,2017-01-21,Sursureste,Sursureste,,30.0,69.0,74824,no,,0.0,,,1013.6,1015.5,Sursureste,37.0,28.3,9.1,25.5,14.9,11.0,11.0
Recoleta,2012-04-28,Oeste,Noroeste,6.7,78.0,100.0,82181,no,1.6,0.2,,,1020.5,1022.0,Oestesuroeste,50.0,19.0,7.9,16.6,11.7,24.0,13.0
La Paternal,2015-10-22,Sursuroeste,Sursuroeste,,88.0,90.0,44974,si,,2.0,8.0,8.0,1011.9,1012.1,Sursuroeste,72.0,19.8,17.2,17.8,17.9,43.0,26.0
Versalles,2015-09-02,Norte,Nornoreste,2.4,91.0,77.0,104899,si,3.4,4.4,8.0,4.0,1001.4,1006.1,Noroeste,43.0,13.4,8.5,9.8,10.3,11.0,15.0
Villa del Parque,2014-06-01,Oestesuroeste,Oeste,6.5,84.0,87.0,110490,no,1.4,0.0,7.0,1.0,1014.7,1014.9,,,20.9,10.7,18.5,15.4,7.0,15.0
Flores,2016-05-26,Noroeste,Norte,4.8,41.0,50.0,36133,no,4.6,0.6,2.0,7.0,1000.1,1006.4,Noroeste,48.0,21.8,12.7,20.6,15.7,30.0,19.0
Monserrat,2014-12-02,Oeste,Sur,,33.0,82.0,57205,no,,0.0,,,1009.2,1009.8,Sur,39.0,27.0,10.2,25.9,15.0,7.0,9.0
Almagro,2012-06-18,Oestesuroeste,Noreste,,48.0,83.0,4274,no,,0.0,,,1019.8,1022.4,Oestesuroeste,24.0,17.8,2.8,17.2,10.2,15.0,6.0
Chacarita,2012-05-09,Oestesuroeste,Oestesuroeste,8.4,59.0,64.0,22313,no,4.0,0.0,2.0,2.0,1012.9,1014.0,suroeste,50.0,21.6,17.5,20.9,19.8,26.0,22.0
Parque Avellaneda,2015-04-07,Sur,Sursuroeste,0.0,,,69582,,2.6,,,,,,Sursuroeste,61.0,,,,,33.0,15.0
Constitución,2015-02-19,Este,Estenoreste,5.1,63.0,88.0,32662,no,9.6,0.2,5.0,7.0,1019.4,1021.8,Estenoreste,39.0,27.6,22.2,25.8,23.0,17.0,11.0
Núñez,2014-05-03,Oeste,Oestenoroeste,,75.0,89.0,63041,no,,0.0,7.0,8.0,997.4,999.1,Oeste,41.0,15.6,6.5,14.3,9.8,26.0,11.0
La Boca,2014-11-12,Sureste,Sureste,8.1,53.0,54.0,41590,no,5.2,0.4,5.0,6.0,1016.5,1019.6,Sureste,37.0,22.8,12.3,21.4,20.2,28.0,15.0
San Telmo,2010-07-18,Nornoreste,Noreste,0.0,92.0,90.0,97067,si,,2.0,,,1016.9,1019.1,Nornoreste,26.0,11.5,9.1,10.8,9.2,11.0,11.0
La Paternal,2011-03-05,Sursureste,Sur,,80.0,75.0,43371,no,,0.0,8.0,3.0,1024.6,1023.7,Sursureste,54.0,19.2,14.6,17.0,16.9,35.0,33.0
Villa Lugano,2010-11-23,Oestesuroeste,Estesureste,10.7,39.0,53.0,118320,no,9.0,0.0,1.0,6.0,1016.6,1017.7,Sursuroeste,41.0,26.1,17.5,24.6,21.0,26.0,11.0
Floresta,2016-10-13,Oestenoroeste,Sureste,,43.0,59.0,39282,no,3.2,0.0,,8.0,1021.8,1022.4,Sursureste,31.0,18.0,5.1,16.8,9.5,6.0,15.0
Constitución,2017-05-18,Este,Oestenoroeste,6.4,62.0,79.0,33481,no,3.6,0.0,4.0,7.0,1024.7,1027.0,Este,33.0,21.5,12.6,20.2,14.8,22.0,15.0
Núñez,2009-07-13,Oestenoroeste,Noroeste,8.0,47.0,76.0,61375,no,1.8,0.0,6.0,1.0,1001.0,1003.0,Oestesuroeste,56.0,15.9,2.9,15.0,9.7,24.0,7.0
Parque Chacabuco,2009-01-26,Estesureste,Sureste,13.4,9.0,38.0,70418,no,10.6,0.0,0.0,0.0,1016.1,1018.6,Sureste,35.0,38.0,17.7,35.7,22.2,17.0,19.0
La Paternal,2016-03-09,Norte,Noreste,,79.0,75.0,45113,no,,0.0,,,1017.5,1021.2,Norte,37.0,23.8,20.5,22.7,23.7,22.0,13.0
San Cristóbal,2010-02-20,Sureste,Sursureste,,65.0,65.0,90686,no,,0.4,,,1017.3,1019.2,Sureste,57.0,30.2,21.6,27.2,27.1,31.0,28.0
Caballito,2010-03-13,Sursureste,Sursureste,,69.0,67.0,18551,no,,0.0,,,1032.1,1033.6,Sureste,44.0,23.6,20.3,22.3,21.9,31.0,33.0
Colegiales,2017-05-17,Nornoreste,,,53.0,97.0,30136,no,1.5,0.2,,,1020.7,1023.8,Estenoreste,24.0,20.9,5.0,20.0,10.1,15.0,0.0
La Paternal,2009-07-24,Noreste,Sursuroeste,,56.0,57.0,42782,si,,1.2,,,1024.2,1026.1,Sursuroeste,33.0,15.6,8.8,15.5,11.8,7.0,19.0
Villa Soldati,2012-10-31,Norte,Noreste,10.7,55.0,61.0,140664,no,6.0,0.0,2.0,2.0,1007.5,1011.5,Nornoreste,39.0,34.4,26.0,33.1,30.3,24.0,13.0
Liniers,2009-05-30,Estesureste,Estesureste,1.9,53.0,78.0,46163,no,1.8,0.0,7.0,4.0,1029.6,1030.6,Estesureste,39.0,13.6,1.3,12.5,7.6,20.0,6.0
Villa Devoto,2011-05-01,Sur,,,63.0,99.0,112431,no,,0.8,,,,,Sursureste,30.0,21.2,9.3,20.2,16.6,13.0,0.0
Parque Patricios,2013-05-06,Este,Estenoreste,3.3,67.0,73.0,76477,no,2.2,0.0,,,1022.7,1026.1,Estesureste,33.0,14.7,2.9,13.7,10.7,15.0,11.0
Versalles,2017-01-17,Oeste,Estenoreste,13.5,5.0,28.0,105402,no,11.6,0.0,,1.0,1006.3,1009.2,Sureste,57.0,39.9,13.2,39.1,29.1,24.0,7.0
Villa Crespo,2013-10-31,Norte,Estesureste,,12.0,42.0,107237,no,11.2,0.0,0.0,0.0,1020.3,1023.8,Estesureste,31.0,28.8,12.3,27.7,17.8,6.0,26.0
Mataderos,2009-01-29,Oestesuroeste,Sursureste,,20.0,52.0,49082,no,,0.0,,,1013.0,1017.1,Estenoreste,31.0,37.6,17.9,36.7,25.0,7.0,2.0
Villa Devoto,2016-10-08,Oeste,Oestenoroeste,,62.0,82.0,114359,si,,29.2,,,1005.8,1004.4,Oeste,59.0,17.5,13.2,16.7,16.2,28.0,22.0
Villa Urquiza,2017-01-27,Oestenoroeste,Noreste,,,72.0,143732,no,4.0,0.0,,5.0,1006.1,1009.0,Oestenoroeste,39.0,34.0,26.0,,30.5,28.0,4.0
Mataderos,2016-07-30,Norte,,,65.0,99.0,51731,no,,0.0,,,1021.0,1025.1,Nornoreste,19.0,11.2,0.7,10.5,3.5,11.0,0.0
Villa del Parque,2013-05-05,Este,Noroeste,,80.0,92.0,110098,no,1.8,0.0,5.0,5.0,1018.2,1021.6,,,19.5,11.0,18.3,13.8,17.0,4.0
Coghlan,2015-06-12,Noreste,Nornoreste,,51.0,92.0,26422,no,,0.0,,,,,Este,15.0,19.1,10.8,18.0,12.5,7.0,2.0
Monte Castro,2015-08-27,Oeste,Norte,,97.0,97.0,54433,si,,4.2,,,,,Oeste,39.0,3.7,0.5,2.2,3.0,20.0,9.0
Caballito,2015-03-17,Noreste,Nornoreste,,68.0,72.0,20287,no,,0.0,,,1012.3,1015.8,Nornoreste,37.0,24.3,15.9,21.9,20.4,22.0,4.0
Belgrano,2017-05-30,suroeste,Noreste,,30.0,79.0,15049,no,,0.0,,,1022.7,1025.1,Oeste,30.0,16.5,2.9,16.2,9.1,17.0,6.0
Agronomía,2015-03-26,Oeste,Noroeste,,33.0,58.0,2217,no,,0.0,2.0,8.0,1019.2,1019.2,Oestenoroeste,46.0,19.4,7.8,18.4,12.9,22.0,13.0
San Cristóbal,2016-03-18,Nornoreste,Sursureste,,68.0,75.0,92815,,,,,,1004.8,1009.4,Nornoreste,33.0,29.2,21.1,28.4,26.6,30.0,9.0
Palermo,2011-01-15,Sursureste,Sur,12.1,55.0,85.0,64935,si,5.0,21.8,1.0,7.0,1008.8,1009.7,Sur,35.0,28.5,17.2,27.3,20.1,17.0,9.0
Constitución,2012-04-07,Sursureste,Oestesuroeste,9.2,59.0,69.0,31673,no,8.0,0.0,,,1016.9,1015.2,Sursureste,57.0,28.3,18.2,23.3,21.5,31.0,15.0
San Cristóbal,2011-11-08,Nornoreste,Nornoreste,,60.0,52.0,91282,no,,0.0,,,1016.1,1019.5,Nornoreste,37.0,26.9,17.8,24.9,24.9,33.0,20.0
Colegiales,2012-11-05,Estenoreste,Estesureste,,21.0,73.0,28541,no,,0.0,,,1012.9,1018.5,Estenoreste,35.0,34.8,11.4,34.1,20.5,13.0,4.0
Floresta,2015-08-28,Oeste,Oeste,5.8,62.0,87.0,38870,si,1.0,2.4,3.0,7.0,1022.0,1023.2,Oestesuroeste,28.0,14.6,7.2,13.9,8.9,19.0,13.0
Coghlan,2012-02-05,Nornoreste,Noroeste,,47.0,95.0,25258,no,,0.0,,,,,Estenoreste,26.0,32.0,17.9,30.9,21.4,11.0,7.0
Saavedra,2011-09-14,Sureste,Sureste,10.8,49.0,42.0,88187,no,9.4,0.0,1.0,3.0,1018.3,1022.0,Sureste,56.0,27.4,17.5,25.1,24.0,37.0,35.0
San Nicolás,2010-06-10,Estenoreste,Sursuroeste,10.6,37.0,69.0,93836,no,3.6,0.0,1.0,1.0,1016.3,1019.1,Estenoreste,31.0,27.6,14.7,27.1,22.1,15.0,15.0
Barracas,2014-08-02,,,,35.0,31.0,11008,no,,0.0,,,,,,,17.4,5.1,16.4,13.6,,
Caballito,2016-07-12,Noroeste,Oestesuroeste,,35.0,77.0,20770,no,,0.0,,,1007.5,1010.5,Noroeste,52.0,20.1,14.6,18.9,17.5,17.0,4.0
Boedo,2011-12-10,Sureste,,,70.0,75.0,16150,no,,0.0,6.0,7.0,,,,,25.2,17.4,23.2,21.5,7.0,0.0
Parque Avellaneda,2015-02-02,Sursureste,Sursuroeste,7.7,,,69518,,3.4,,,,,,Sursureste,50.0,,,,,30.0,17.0
Vélez Sársfield,2016-03-11,suroeste,Estenoreste,6.1,69.0,96.0,102081,no,0.8,0.6,6.0,8.0,1016.1,1017.6,Sursuroeste,33.0,26.6,16.1,25.3,18.0,22.0,7.0
Chacarita,2015-03-11,Estesureste,Estesureste,6.4,95.0,74.0,23290,no,5.4,0.0,8.0,7.0,1011.5,1013.7,Estesureste,41.0,25.3,20.6,21.5,23.3,22.0,19.0
Almagro,2010-08-22,Nornoreste,Norte,,35.0,63.0,3638,no,,0.0,,,1020.3,1024.1,Oestesuroeste,24.0,18.2,2.3,17.3,10.8,7.0,7.0
Colegiales,2016-12-16,Norte,suroeste,,88.0,99.0,29984,si,3.8,23.4,8.0,8.0,1009.6,1013.5,Nornoreste,28.0,26.1,16.2,19.8,17.5,7.0,9.0
San Cristóbal,2015-08-06,Estenoreste,Oestesuroeste,,42.0,39.0,92590,no,,0.0,,,1015.0,1017.1,Oeste,41.0,18.7,8.9,17.4,14.9,22.0,9.0
San Cristóbal,2015-04-23,Este,Oeste,,53.0,54.0,92485,no,,0.0,,,1009.4,1012.7,Este,19.0,24.7,13.3,23.8,21.0,13.0,7.0
La Paternal,2016-04-26,Noreste,Nornoreste,,71.0,72.0,45161,no,,0.0,,,1027.3,1030.8,Norte,26.0,22.1,15.1,21.2,20.9,17.0,4.0
Villa Riachuelo,2010-07-19,Norte,Noroeste,,67.0,100.0,133626,si,,12.4,,,1016.3,1017.5,Nornoreste,20.0,10.9,1.3,10.7,1.4,11.0,2.0
La Paternal,2014-04-16,Sur,suroeste,,64.0,68.0,44420,si,,10.4,,2.0,1018.0,,Sursuroeste,43.0,21.4,15.0,20.2,17.8,30.0,26.0
Versalles,2016-08-05,suroeste,Nornoreste,4.3,52.0,82.0,105237,no,2.5,0.0,,7.0,1027.8,1030.5,Norte,28.0,12.7,0.3,11.9,6.6,6.0,6.0
Villa Soldati,2010-10-15,Oestenoroeste,Nornoreste,6.3,66.0,77.0,139947,no,7.8,0.6,6.0,6.0,1005.9,1009.7,Oestenoroeste,31.0,32.0,25.9,31.2,29.3,19.0,6.0
Núñez,2016-11-06,Oeste,Oeste,,41.0,69.0,63959,no,,0.0,,8.0,1008.4,1008.8,Oeste,69.0,20.6,10.1,18.7,13.5,37.0,35.0
Saavedra,2009-11-11,Sureste,Sureste,3.6,64.0,77.0,87545,si,6.6,6.8,5.0,6.0,1011.8,1014.3,Sursuroeste,39.0,28.6,21.8,27.2,25.3,22.0,20.0
La Paternal,2014-05-23,Nornoreste,Sureste,,42.0,53.0,44457,no,,0.0,,,1012.2,,Noroeste,30.0,25.6,16.3,24.8,21.3,13.0,7.0
Balvanera,2009-06-03,,Nornoreste,5.1,68.0,95.0,6202,si,0.0,13.6,5.0,7.0,1019.4,1022.3,Norte,19.0,17.8,12.3,16.3,13.0,0.0,7.0
Villa Lugano,2014-12-30,Oestesuroeste,Noreste,11.4,12.0,14.0,119729,no,11.0,0.0,3.0,6.0,1007.9,1009.8,Estenoreste,43.0,41.5,19.1,35.1,33.8,24.0,30.0
Villa Lugano,2016-11-26,Oestenoroeste,Noreste,13.1,8.0,19.0,120426,no,11.8,0.0,1.0,1.0,1010.2,1014.0,Estenoreste,44.0,38.2,18.9,37.1,32.0,17.0,22.0
